PID,BIAS,REPS,Elapsed,MS
2,fillerUNREL,0,,1525
2,fillerUNREL,0,,1554
2,fillerUNREL,0,,1563
2,fillerUNREL,0,,1738
2,fillerUNREL,0,,1804
2,fillerUNREL,0,,1819
2,fillerUNREL,0,,1835
2,fillerUNREL,0,,1956
2,fillerUNREL,0,,2378
2,fillerUNREL,0,,2748
2,fillerUNREL,0,,3004
2,fillerUNREL,3,1.1625,764
2,fillerUNREL,3,0.720555556,1403
2,fillerUNREL,3,0.970277778,1434
2,fillerUNREL,3,0.952222222,1482
2,fillerUNREL,3,1.128888889,1754
2,fillerUNREL,3,1.15,1828
2,fillerUNREL,3,0.757777778,1876
2,fillerUNREL,3,1.000555556,1964
2,fillerUNREL,3,0.786388889,2020
2,fillerUNREL,3,0.778055556,2059
2,fillerUNREL,3,0.918888889,3030
2,fillerUNREL,3,1.058611111,3580
2,fillerUNREL,30,1.350277778,1035
2,fillerUNREL,30,1.155555556,1179
2,fillerUNREL,30,0.721388889,1251
2,fillerUNREL,30,1.598888889,1275
2,fillerUNREL,30,1.015555556,1314
2,fillerUNREL,30,0.620277778,1339
2,fillerUNREL,30,0.985,1547
2,fillerUNREL,30,0.960277778,1867
2,fillerUNREL,30,0.960277778,1987
2,fillerUNREL,30,1.2725,2075
2,fillerUNREL,30,0.699722222,2291
2,fillerUNREL,30,1.555,3348
2,subordinate,0,,691
2,subordinate,0,,691
2,subordinate,0,,907
2,subordinate,0,,947
2,subordinate,0,,1187
2,subordinate,0,,1187
2,subordinate,0,,1643
2,subordinate,0,,1905
2,subordinate,3,0.675833333,579
2,subordinate,3,0.9875,891
2,subordinate,3,0.951388889,915
2,subordinate,3,1.019722222,932
2,subordinate,3,0.915833333,939
2,subordinate,3,1.540277778,1284
2,subordinate,3,1.102777778,1291
2,subordinate,3,1.087777778,1300
2,subordinate,30,0.671666667,723
2,subordinate,30,1.28,845
2,subordinate,30,0.616388889,899
2,subordinate,30,1.035833333,1003
2,subordinate,30,1.4525,1027
2,subordinate,30,1.113055556,1771
2,subordinate,30,1.016944444,1859
2,subordinate,30,1.251111111,2171
2,unrelated,0,,1253
2,unrelated,0,,1483
2,unrelated,0,,1698
2,unrelated,0,,1699
2,unrelated,0,,1859
2,unrelated,0,,1947
2,unrelated,0,,2284
2,unrelated,0,,2347
2,unrelated,3,0.945277778,1299
2,unrelated,3,0.738888889,1532
2,unrelated,3,0.924722222,1684
2,unrelated,3,0.816388889,1691
2,unrelated,3,1.071666667,1964
2,unrelated,3,1.299166667,2443
2,unrelated,3,1.281388889,2642
2,unrelated,3,0.599444444,4342
2,unrelated,30,0.813611111,1274
2,unrelated,30,1.120833333,1371
2,unrelated,30,1.189722222,1803
2,unrelated,30,0.902777778,2075
2,unrelated,30,0.961111111,2123
2,unrelated,30,0.806388889,2300
2,unrelated,30,0.825555556,2691
2,unrelated,30,1.256388889,2715
3,dominant,0,,852
3,dominant,0,,971
3,dominant,0,,1164
3,dominant,0,,1458
3,dominant,0,,1507
3,dominant,0,,1539
3,dominant,0,,1586
3,dominant,0,,1875
3,dominant,3,1.774722222,858
3,dominant,3,4.740277778,1003
3,dominant,3,2.108611111,1010
3,dominant,3,3.667222222,1036
3,dominant,3,3.416388889,1147
3,dominant,3,1.538611111,1171
3,dominant,3,3.1175,2787
3,dominant,3,3.996666667,4012
3,dominant,30,2.556111111,786
3,dominant,30,4.76,946
3,dominant,30,3.924166667,1050
3,dominant,30,5.049444444,1179
3,dominant,30,4.189166667,1394
3,dominant,30,4.718055556,1460
3,dominant,30,6.015277778,1680
3,dominant,30,2.033611111,2842
3,fillerREL,0,,818
3,fillerREL,0,,964
3,fillerREL,0,,979
3,fillerREL,0,,1020
3,fillerREL,0,,1107
3,fillerREL,0,,1137
3,fillerREL,0,,1275
3,fillerREL,0,,1283
3,fillerREL,0,,1394
3,fillerREL,0,,1433
3,fillerREL,0,,2042
3,fillerREL,0,,2148
3,fillerREL,3,3.275277778,714
3,fillerREL,3,5.191666667,803
3,fillerREL,3,5.601666667,954
3,fillerREL,3,4.334166667,993
3,fillerREL,3,5.094722222,1115
3,fillerREL,3,1.788611111,1146
3,fillerREL,3,4.4025,1298
3,fillerREL,3,4.064444444,1459
3,fillerREL,3,1.431388889,1610
3,fillerREL,3,4.936666667,1613
3,fillerREL,3,4.960555556,2938
3,fillerREL,3,5.56,3592
3,fillerREL,30,2.733611111,825
3,fillerREL,30,5.369722222,868
3,fillerREL,30,3.962222222,929
3,fillerREL,30,4.779444444,1003
3,fillerREL,30,3.981666667,1244
3,fillerREL,30,1.9975,1516
3,fillerREL,30,3.735,1875
3,fillerREL,30,3.398888889,2187
3,fillerREL,30,3.721666667,2301
3,fillerREL,30,5.675277778,2395
3,fillerREL,30,4.142777778,2794
3,fillerREL,30,3.270833333,3130
3,fillerUNREL,0,,1202
3,fillerUNREL,0,,1211
3,fillerUNREL,0,,1283
3,fillerUNREL,0,,1434
3,fillerUNREL,0,,1650
3,fillerUNREL,0,,1675
3,fillerUNREL,0,,1683
3,fillerUNREL,0,,1700
3,fillerUNREL,0,,2058
3,fillerUNREL,0,,2298
3,fillerUNREL,0,,2339
3,fillerUNREL,0,,5005
3,fillerUNREL,3,4.918611111,1467
3,fillerUNREL,3,1.743333333,1533
3,fillerUNREL,3,3.956388889,1637
3,fillerUNREL,3,5.335833333,1794
3,fillerUNREL,3,4.833888889,1940
3,fillerUNREL,3,3.9375,1948
3,fillerUNREL,3,2.905833333,2042
3,fillerUNREL,3,4.604166667,2059
3,fillerUNREL,3,3.636388889,2172
3,fillerUNREL,3,3.1275,2362
3,fillerUNREL,3,1.771111111,2419
3,fillerUNREL,3,4.649722222,3227
3,fillerUNREL,30,3.205833333,962
3,fillerUNREL,30,5.613055556,1220
3,fillerUNREL,30,2.539166667,1227
3,fillerUNREL,30,6.078333333,1274
3,fillerUNREL,30,1.751944444,1282
3,fillerUNREL,30,5.401388889,1316
3,fillerUNREL,30,5.329722222,1482
3,fillerUNREL,30,5.7025,1858
3,fillerUNREL,30,1.836944444,2173
3,fillerUNREL,30,5.641111111,2324
3,fillerUNREL,30,6.086388889,3476
3,fillerUNREL,30,2.911944444,5147
3,subordinate,0,,891
3,subordinate,0,,940
3,subordinate,0,,1090
3,subordinate,0,,1388
3,subordinate,0,,1461
3,subordinate,0,,1468
3,subordinate,0,,2196
3,subordinate,0,,3395
3,subordinate,3,3.320277778,1033
3,subordinate,3,5.019722222,1299
3,subordinate,3,2.543611111,1387
3,subordinate,3,5.083888889,1553
3,subordinate,3,5.162777778,1771
3,subordinate,3,1.999722222,1844
3,subordinate,3,3.996944444,1900
3,subordinate,3,4.1075,3227
3,subordinate,30,3.702222222,868
3,subordinate,30,3.781388889,963
3,subordinate,30,4.499444444,995
3,subordinate,30,2.823333333,1666
