PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,PID,MEAN,STDEV
18,unrelated,3,1795.5,1483,1650,1786,2898,2466,2242,2122,2609,0.172711939,-0.253246478,-0.0256143,0.159762803,1.675493236,1.08664832,0.781321326,0.617753294,1.281566891,,,
18,unrelated,30,1795.5,866,1474,1186,1322,2178,1074,1434,2403,0.172711939,-1.094258777,-0.265514081,-0.658077358,-0.472700255,0.694085042,-0.810740855,-0.320036758,1.000775103,,,
19,dominant,3,1445.291667,1826,4875,1139,1251,1018,826,1074,722,-0.480423399,-0.133581696,2.644188741,-0.759468311,-0.657431483,-0.869704527,-1.044624804,-0.818686113,-1.139373287,,,
19,dominant,30,1445.291667,827,1154,2058,978,3042,930,2380,1170,-0.480423399,-1.043713761,-0.745802664,0.077780305,-0.906146251,0.974246724,-0.94987632,0.371136186,-0.731225975,,,
19,subordinate,3,1579.583333,3625,842,1770,1338,1291,978,2180,1690,-0.358077902,1.505384856,-1.030048114,-0.18460011,-0.578170732,-0.620989758,-0.906146251,0.188927565,-0.257483558,,,
19,subordinate,30,1579.583333,1146,1370,1219,2595,1099,914,2490,898,-0.358077902,-0.753091009,-0.549017353,-0.686584862,0.567010454,-0.795910035,-0.96445301,0.471350928,-0.9790297,,,
19,unrelated,3,2765.583333,4011,5483,1426,1395,2058,2420,2818,2291,0.722419224,1.857047495,3.19810295,-0.497998939,-0.526241275,0.077780305,0.40757791,0.770173067,0.29005335,,,
19,unrelated,30,2765.583333,2562,1482,2666,4354,1530,3363,5415,1946,0.722419224,0.536946032,-0.446980525,0.631694515,2.169535281,-0.403250456,1.266691561,3.136152019,-0.024256523,,,
21,dominant,3,1236.125,986,1138,1210,1042,819,914,986,1098,-0.529506821,-0.653615473,-0.578195123,-0.542469693,-0.625829028,-0.736478622,-0.689340903,-0.653615473,-0.598042583,,,
21,dominant,30,1236.125,2082,1178,1643,1771,707,1851,1060,1661,-0.529506821,-0.10979505,-0.558347662,-0.327620931,-0.264109057,-0.792051512,-0.224414136,-0.616897671,-0.318689574,,,
21,subordinate,3,2301.916667,763,4115,1594,1691,1203,1002,2265,2563,-0.000675365,-0.764265067,0.89895214,-0.351934071,-0.303803978,-0.545942999,-0.645676489,-0.018992917,0.128870665,,,
21,subordinate,30,2301.916667,2562,2466,2362,1017,1058,10234,2546,1082,-0.000675365,0.128374478,0.080740573,0.029137175,-0.638233691,-0.617890044,3.935117441,0.120435494,-0.605981568,,,
21,unrelated,3,3327.791667,2106,2058,2364,3308,4802,3973,9938,1530,0.508349979,-0.097886574,-0.121703527,0.030129548,0.49852962,1.239832278,0.828493655,3.788246232,-0.383690008,,,
21,unrelated,30,3327.791667,4954,1602,3098,1458,3210,1195,1379,1994,0.508349979,1.315252628,-0.347964579,0.394330452,-0.419415437,0.449903342,-0.549912491,-0.458614172,-0.153459464,,,
22,dominant,3,1886.125,1658,1042,1426,1482,1011,1685,1659,1226,-0.186225298,-0.31336598,-0.656680654,-0.442666312,-0.411455887,-0.673957853,-0.298318096,-0.312808651,-0.554132115,,,
22,dominant,30,1886.125,1834,994,890,1538,1083,1931,3722,4158,-0.186225298,-0.215276073,-0.683432446,-0.741394664,-0.380245462,-0.633830164,-0.161215159,0.836961109,1.07995656,,,
22,subordinate,3,2067.291667,1610,2450,2618,2667,2290,2690,1786,1138,-0.085255858,-0.340117773,0.128038601,0.221669875,0.248978997,0.038865958,0.261797564,-0.242027866,-0.603177068,,,
22,subordinate,30,2067.291667,1290,1170,2410,1378,1458,1634,1442,5745,-0.085255858,-0.518463058,-0.58534254,0.10574544,-0.469418104,-0.424831783,-0.326741876,-0.433749047,1.964437708,,,
22,unrelated,3,2771.083333,3346,3066,3354,3418,1838,1499,1691,2298,0.306987659,0.627405399,0.471353274,0.631864031,0.667533088,-0.213046757,-0.401981293,-0.294974122,0.04332459,,,
22,unrelated,30,2771.083333,1170,1074,1674,3187,3314,2947,8266,4402,0.306987659,-0.58534254,-0.638846125,-0.304448716,0.538790085,0.60957087,0.405031121,3.369464157,1.215944839,,,
23,dominant,3,1122,890,947,1427,817,924,674,772,761,-0.240257317,-0.56496772,-0.485189733,0.186624894,-0.667139528,-0.51738085,-0.867284302,-0.730122149,-0.745517901,,,
23,dominant,30,1122,875,618,954,595,786,1129,5453,1353,-0.240257317,-0.585961927,-0.945662675,-0.475392436,-0.977853792,-0.710527556,-0.23046002,5.821470076,0.083053472,,,
23,subordinate,3,1032.375,675,617,1001,1427,1122,937,1138,1234,-0.365697704,-0.865884688,-0.947062289,-0.409610587,0.186624894,-0.240257317,-0.499185871,-0.217863496,-0.083500571,,,
23,subordinate,30,1032.375,802,1082,1266,858,978,658,770,1746,-0.365697704,-0.688133735,-0.296241869,-0.038712929,-0.609755362,-0.441801705,-0.889678123,-0.732921376,0.633101698,,,
23,unrelated,3,1609.166667,1667,987,2115,985,1539,1458,1947,3931,0.441587876,0.522532207,-0.429205181,1.149559192,-0.432004408,0.34338164,0.230012922,0.914424073,3.691257864,,,
23,unrelated,30,1609.166667,1241,1501,1188,1498,1722,1483,1138,1001,0.441587876,-0.073703274,0.290196316,-0.147882806,0.285997474,0.599510967,0.265003267,-0.217863496,-0.409610587,,,
24,dominant,3,2177.25,6931,1018,1715,1378,1155,858,1010,1698,0.090256445,3.572622979,-0.758953843,-0.24836547,-0.495235315,-0.658594292,-0.876162077,-0.764814254,-0.260818845,,,
24,dominant,30,2177.25,978,945,1530,1530,1450,7219,1114,8194,0.090256445,-0.788255901,-0.8124301,-0.383887492,-0.383887492,-0.442491609,3.783597801,-0.688628902,4.497835481,,,
24,subordinate,3,2292.166667,1650,3105,900,1066,810,1786,1098,2970,0.174438818,-0.295981316,0.769881068,-0.845394916,-0.723791372,-0.911324548,-0.196354316,-0.700349725,0.67098662,,,
24,subordinate,30,2292.166667,1835,1331,882,2586,8227,4460,1097,3355,0.174438818,-0.160459294,-0.529665234,-0.858580842,0.389686857,4.522009679,1.762488305,-0.701082277,0.953018935,,,
24,unrelated,3,2245.833333,1393,922,3281,1738,1355,3210,1122,3129,0.140497266,-0.484247043,-0.829278783,0.898810126,-0.231516787,-0.512083998,0.846798972,-0.68276849,0.787462303,,,
24,unrelated,30,2245.833333,1258,1178,1571,2531,2082,1147,3202,2365,0.140497266,-0.583141491,-0.641745608,-0.353852882,0.349396526,0.020480918,-0.664454703,0.84093856,0.227792983,,,
26,dominant,3,1382.708333,1634,1538,1185,1250,1131,1578,985,978,-0.372998602,-0.058155416,-0.178433761,-0.620707259,-0.539268797,-0.688363829,-0.128317784,-0.871287145,-0.880057441,,,
26,dominant,30,1382.708333,1258,1210,1042,986,922,2610,769,1234,-0.372998602,-0.529245601,-0.589384774,-0.799871878,-0.870034246,-0.950219809,1.164674428,-1.141913422,-0.559315187,,,
26,subordinate,3,1460.625,1371,763,3066,1818,1186,1139,2018,2597,-0.275376854,-0.387667966,-1.149430819,1.735996567,0.172378079,-0.61945436,-0.678340633,0.422957965,1.148386735,,,
26,subordinate,30,1460.625,899,1699,1011,2074,1074,1339,31,858,-0.275376854,-0.979036496,0.023283047,-0.83871176,0.493120333,-0.759779096,-0.427760747,-2.066553201,-1.030405373,,,
26,unrelated,3,2140.833333,2914,1635,2910,1107,3105,1578,2250,4593,0.576855778,1.545555854,-0.056902516,1.540544256,-0.718433415,1.784859645,-0.128317784,0.713630633,3.649173996,,,
